person,referent,relation,rel,log_rel
Eliza Haywood,Anne Tanneguy-Le Fevre Dacier,Akin to,1,1
Eliza Haywood,Edmund Curll,Akin to,1,1
Eliza Haywood,Edward Ward,Akin to,1,1
Eliza Haywood,Elisha Kirkall,Akin to,1,1
Eliza Haywood,John Dennis,Akin to,1,1
Eliza Haywood,John Oldmixon,Akin to,1,1
Eliza Haywood,Leonard Welsted,Akin to,1,1
Eliza Haywood,Lewis Theobald,Akin to,1,1
Eliza Haywood,Richard Savage,Dissimilar,1,1
Giles Jacob,Alexander Pope,Attacked,4,3
Giles Jacob,Alexander Pope,Defended,1,1
Giles Jacob,Ambrose Phillips,Defended,1,1
Giles Jacob,Edmund Curll,Defended,1,1
Giles Jacob,Edward Ward,Defended,1,1
Giles Jacob,Eustace Budgell,Defended,1,1
Giles Jacob,John Dennis,Akin to,2,2
Giles Jacob,John Dennis,Defended,2,2
Giles Jacob,John Gay,Attacked,1,1
Giles Jacob,John Oldmixon,Defended,1,1
Giles Jacob,John Ozell,Defended,2,2
Giles Jacob,Laurence Eusden,Defended,1,1
Giles Jacob,Lewis Theobald,Defended,1,1
Giles Jacob,Susanna Centlivre,Defended,1,1
John Dennis,A Boyer,Attacked,1,1
John Dennis,A Moore,Akin to,1,1
John Dennis,Alexander Pope,Attacked,56,7
John Dennis,B.B.,Akin to,1,1
John Dennis,Bavius,Defended,1,1
John Dennis,Bernard Lintot,Akin to,2,2
John Dennis,Charles Gildon,Akin to,5,3
John Dennis,Colley Cibber,Akin to,2,2
John Dennis,Edmund Curll,Akin to,3,3
John Dennis,Elkanah Settle,Akin to,1,1
John Dennis,George Ducket,Defended,1,1
John Dennis,George Duckett,Akin to,1,1
John Dennis,Giles Jacob,Akin to,3,3
John Dennis,Hilkiah Bedford,Attacked,1,1
John Dennis,Jeremy Collier,Attacked,1,1
John Dennis,John Anstis,Akin to,1,1
John Dennis,John Dryden,Attacked,2,2
John Dennis,John Gay,Attacked,1,1
John Dennis,John Oldmixon,Akin to,2,2
John Dennis,Leonard Welsted,Akin to,1,1
John Dennis,Leonard Welsted,Defended,1,1
John Dennis,Lewis Theobald,Akin to,5,3
John Dennis,Matthew Concanen,Akin to,1,1
John Dennis,Richard Blackmore,Akin to,4,3
John Dennis,S Popping,Akin to,1,1
John Dennis,Thomas Cooke,Akin to,1,1
John Dennis,Thomas Rymer,Akin to,1,1
John Dennis,Tom DíUrfey,Akin to,2,2
John Dennis,William Law,Attacked,4,3
John Henley,Benjamin Hoadly,Akin to,1,1
John Henley,Edmund Gibson,Akin to,1,1
John Henley,Frances Hare,Akin to,1,1
John Henley,James Ralph,Akin to,2,2
John Henley,John Toland,Akin to,1,1
John Henley,Leonard Welsted,Akin to,1,1
John Henley,Matthew Tindal,Akin to,1,1
John Henley,Richard Blackmore,Akin to,1,1
John Henley,Richard Flecknoe,Akin to,1,1
John Henley,Thomas Sherlock,Akin to,1,1
John Henley,Thomas Woolston,Akin to,1,1
